"Name","Address","City_State_ZIP","ZIP","Number_of_Sites","Url","House.district","Senate.district","full_address","lat","long","County"
"Maplewood Mobile Estates","1100 W Sturgeon Ln,","Chillicothe, IL",61523,"Not found","https://www.mhvillage.com/parks/57996","105","53","1100 W Sturgeon Ln, Chillicothe, IL 61523",40.9241738,-89.4991014,"Peoria County"
"Northtown Mobile Home Park","1706 N Santa Fe Ave,","Chillicothe, IL",61523,"Not found","https://www.mhvillage.com/parks/11139","105","53","1706 N Santa Fe Ave, Chillicothe, IL 61523",40.927513,-89.493845,"Peoria County"
"Enchanted Gardens","508 Reagan Drive,","Eureka, IL",61530,"144","https://www.mhvillage.com/parks/11655","105","53","508 Reagan Drive, Eureka, IL 61530",40.712125,-89.2661954,"Woodford County"
"sold","101 W. Pearl St.,","Farmington, IL",61531,"55","https://www.mhvillage.com/parks/10538","94","47","101 W. Pearl St., Farmington, IL 61531",40.703678,-90.007054,"Fulton County"
"Washington Square Mhc Inc","900 Washington St,","Lacon, IL",61540,"33","https://www.mhvillage.com/parks/70201","105","53","900 Washington St, Lacon, IL 61540",41.0167391,-89.4115007,"Marshall County"
"Maple Crest Subdivision","Cr 800,","Manito, IL",61546,"300","https://www.mhvillage.com/parks/11018","94","47","Cr 800, Manito, IL 61546",40.405669,-89.7718452,"Mason County"
"Tuckaway Village","212 Anker Lane,","Germantown Hills, IL",61548,"107","https://www.mhvillage.com/parks/30090","73","37","212 Anker Lane, Germantown Hills, IL 61548",40.766233,-89.476476,"Woodford County"
"Edgewood Terrace","24150 Veterans Road,","Morton, IL",61550,"124","https://www.mhvillage.com/parks/11445","91","46","24150 Veterans Road, Morton, IL 61550",40.6617611,-89.5040048,"Tazewell County"
"Oak Lawn Estates","3000 West Jackson Street,","Morton, IL",61550,"470","https://www.mhvillage.com/parks/86","87","44","3000 West Jackson Street, Morton, IL 61550",40.6142873,-89.4615737,"Tazewell County"
"Pekin Trailer Court","1810 North 8th Street,","Pekin, IL",61554,"Not found","https://www.mhvillage.com/parks/11449","93","47","1810 North 8th Street, Pekin, IL 61554",40.5857372,-89.6409842,"Tazewell County"
"Northwest Mh Park","217 N Stanton St,","Princeville, IL",61559,"Not found","https://www.mhvillage.com/parks/57738","73","37","217 N Stanton St, Princeville, IL 61559",40.9316251,-89.7620842,"Peoria County"
"Deluxe Lake Estates","338 North Amy Dr.,","Bellevue, IL",61604,"131","https://www.mhvillage.com/parks/28560","93","47","338 North Amy Dr., Bellevue, IL 61604",40.6913769,-89.6874605,"Peoria County"
"Four Seasons","208 N Apple Blossom,","Peoria, IL",61604,"215","https://www.mhvillage.com/parks/11146","93","47","208 N Apple Blossom, Peoria, IL 61604",40.6899639,-89.6666975,"Peoria County"
"Wandering Springs","2900 W Farmington Rd,","West Peoria, IL",61604,"98","https://www.mhvillage.com/parks/57627","92","46","2900 W Farmington Rd, West Peoria, IL 61604",40.7040397,-89.6383797,"Peoria County"
"Cedar Ridge Village","701 Fischer Road,","Creve Coeur, IL",61610,"340","https://www.mhvillage.com/parks/11435","87","44","701 Fischer Road, Creve Coeur, IL 61610",40.6342963,-89.6003474,"Tazewell County"
"Bluff Street Mobile Home Manor","300 West Bluff Street,","East Peoria, IL",61611,"Not found","https://www.mhvillage.com/parks/11436","91","46","300 West Bluff Street, East Peoria, IL 61611",40.666689,-89.5469243,"Tazewell County"
"Fairview Mobile Home Park","108 Fairview Avenue,","East Peoria, IL",61611,"Not found","https://www.mhvillage.com/parks/11438","91","46","108 Fairview Avenue, East Peoria, IL 61611",40.6679369,-89.5697458,"Tazewell County"
"Golden Valley Mobile Home Park","1449 Meadow Avenue,","East Peoria, IL",61611,"Not found","https://www.mhvillage.com/parks/37022","91","46","1449 Meadow Avenue, East Peoria, IL 61611",40.6662332,-89.558515,"Tazewell County"
"Wagon Wheel Mobile Home Park","800 Bloomington Road,","East Peoria, IL",61611,"Not found","https://www.mhvillage.com/parks/11440","91","46","800 Bloomington Road, East Peoria, IL 61611",40.6612367,-89.5585362,"Tazewell County"
"Royal Highlander MHC","826 West Inverness Street,","Peoria, IL",61615,"279","https://www.mhvillage.com/parks/11153","73","37","826 West Inverness Street, Peoria, IL 61615",40.7919868,-89.6048111,"Peoria County"
"Mt Hawley Mobile Home Park","8327 North Knoxville Avenue,","Peoria, IL",61615,"Not found","https://www.mhvillage.com/parks/11151","73","37","8327 North Knoxville Avenue, Peoria, IL 61615",40.7901326,-89.6044476,"Peoria County"
"Grandview Estates","39 Dennis Drive,","Bloomington, IL",61701,"191","https://www.mhvillage.com/parks/11052","91","46","39 Dennis Drive, Bloomington, IL 61701",40.4643486,-89.023617,"McLean County"
"Maple Grove Estates","1212 Epsilon Street,","Bloomington, IL",61701,"218","https://www.mhvillage.com/parks/11056","91","46","1212 Epsilon Street, Bloomington, IL 61701",40.4638321,-89.0195154,"McLean County"
"Prairieland Estates Mobile Home Community","31 Cornflower Lane,","Bloomington, IL",61701,"103","https://www.mhvillage.com/parks/27866","91","46","31 Cornflower Lane, Bloomington, IL 61701",40.466387,-89.019753,"McLean County"
"Willow Creek North Mobile Home Park","40 Canada Ln,","Bloomington, IL",61701,"120","https://www.mhvillage.com/parks/11061","91","46","40 Canada Ln, Bloomington, IL 61701",40.469225,-89.020131,"McLean County"
"Twin City Estates","2317 Springfield Road,","Bloomington, IL",61701,"Not found","https://www.mhvillage.com/parks/31781","88","44","2317 Springfield Road, Bloomington, IL 61701",40.453137,-89.012182,"McLean County"
"Greenwood Terrace","104 Greenwood Ave,","Bloomington, IL",61704,"97","https://www.mhvillage.com/parks/11053","88","44","104 Greenwood Ave, Bloomington, IL 61704",40.4588085,-89.0016388,"McLean County"
"Alexander Estates","Alexander Road,","Bloomington, IL",61704,"330","https://www.mhvillage.com/parks/11051","91","46","Alexander Road, Bloomington, IL 61704",40.4653774,-89.0207146,"McLean County"
"Cardinal Ridge","2402 22nd Street,","Bloomington, IL",61704,"364","https://www.mhvillage.com/parks/11060","88","44","2402 22nd Street, Bloomington, IL 61704",40.4474736,-88.9871034,"McLean County"
"Prairie Place","3710 Daffodil Drive,","Bloomington, IL",61704,"38","https://www.mhvillage.com/parks/31415","88","44","3710 Daffodil Drive, Bloomington, IL 61704",40.4338478,-89.0322615,"McLean County"
"Hilltop Mobile Home Park","1902 South Main Street,","Bloomington, IL",61704,"557","https://www.mhvillage.com/parks/11055","88","44","1902 South Main Street, Bloomington, IL 61704",40.458365,-88.9926869,"McLean County"
"Hillcrest Mobile Manor","122 Greenwood Ave,","Bloomington, IL",61704,"80","https://www.mhvillage.com/parks/11054","88","44","122 Greenwood Ave, Bloomington, IL 61704",40.4587345,-89.0023115,"McLean County"
"South Park","Grace Dr,","Bloomington, IL",61704,"38","https://www.mhvillage.com/parks/129761","88","44","Grace Dr, Bloomington, IL 61704",40.4497003,-88.9877852,"McLean County"
"Sherman's Mh Court","600 Sixth St,","Atlanta, IL",61723,"21","https://www.mhvillage.com/parks/10865","87","44","600 Sixth St, Atlanta, IL 61723",40.2703387,-89.232313,"Logan County"
"Autumn Oaks","507 Hoselton Dr.,","Chenoa, IL",61726,"100","https://www.mhvillage.com/parks/11693","106","53","507 Hoselton Dr., Chenoa, IL 61726",40.7426078,-88.7320141,"McLean County"
"All Seasons","104 Enterprise Dr,","Chenoa, IL",61726,"Not found","https://www.mhvillage.com/parks/106788","106","53","104 Enterprise Dr, Chenoa, IL 61726",40.743216,-88.731747,"McLean County"
"Charlotte's Trailer Court","475 East Jefferson Street,","El Paso, IL",61738,"14","https://www.mhvillage.com/parks/11649","105","53","475 East Jefferson Street, El Paso, IL 61738",40.7362863,-89.0108294,"Woodford County"
"El Paso Mobile Home Court","South Commercial St,","El Paso, IL",61738,"Not found","https://www.mhvillage.com/parks/106962","105","53","South Commercial St, El Paso, IL 61738",40.7352735,-89.0143551,"Woodford County"
"Kilpatrick's Mobile Home Park","397 South Fayette Street,","El Paso, IL",61738,"Not found","https://www.mhvillage.com/parks/11651","105","53","397 South Fayette Street, El Paso, IL 61738",40.7340078,-89.0246592,"Woodford County"
"Kils Mobile Home Park","397 S Fayette,","El Paso, IL",61738,"Not found","https://www.mhvillage.com/parks/107102","105","53","397 S Fayette, El Paso, IL 61738",40.7340078,-89.0246592,"Woodford County"
"Tegard Trailer Park","75 S Oak St,","El Paso, IL",61738,"Not found","https://www.mhvillage.com/parks/107066","105","53","75 S Oak St, El Paso, IL 61738",40.736403,-89.0055923,"Woodford County"
"Indian Grove Estates","700 East Locust Street,","Fairbury, IL",61739,"22","https://www.mhvillage.com/parks/10854","106","53","700 East Locust Street, Fairbury, IL 61739",40.747105,-88.50368,"Livingston County"
"Yogi Bear Jellystone Campground","Timberline Road,","Goodfield, IL",61742,"Not found","https://www.mhvillage.com/parks/11657","91","46","Timberline Road, Goodfield, IL 61742",40.6396252,-89.2554404,"Woodford County"
"Eastern Drive Park","Eastern Dr,","Gridley, IL",61744,"Not found","https://www.mhvillage.com/parks/106996","105","53","Eastern Dr, Gridley, IL 61744",40.7408345,-88.8743275,"McLean County"
"Country Lane Mobile Home Park","425 North Rd,","Heyworth, IL",61745,"30","https://www.mhvillage.com/parks/11069","87","44","425 North Rd, Heyworth, IL 61745",40.311904,-88.9731784,"McLean County"
"Coomer's Mobile Home Park","208 E Pease St,","Heyworth, IL",61745,"Not found","https://www.mhvillage.com/parks/107246","88","44","208 E Pease St, Heyworth, IL 61745",40.3164988,-88.975966,"McLean County"
"Peterson Mh Court","303 N Vine St,","Heyworth, IL",61745,"Not found","https://www.mhvillage.com/parks/57860","88","44","303 N Vine St, Heyworth, IL 61745",40.3161392,-88.9800395,"McLean County"
"King City Mobile Home Park","612 West Vine Street,","Le Roy, IL",61752,"Not found","https://www.mhvillage.com/parks/11072","88","44","612 West Vine Street, Le Roy, IL 61752",40.3442628,-88.7678572,"McLean County"
"Marcums Trailer Court","208 West Vine Street,","Le Roy, IL",61752,"Not found","https://www.mhvillage.com/parks/11073","88","44","208 West Vine Street, Le Roy, IL 61752",40.3443396,-88.7633089,"McLean County"
"Countryside Estates","Davis,","Mackinaw, IL",61755,"46","https://www.mhvillage.com/parks/11441","87","44","Davis, Mackinaw, IL 61755",40.5320512,-89.3412007,"Tazewell County"
"Northwood Mobile Estates","602 North Wood Street,","Maroa, IL",61756,"66","https://www.mhvillage.com/parks/10896","87","44","602 North Wood Street, Maroa, IL 61756",40.0423047,-88.956147,"Macon County"
"Landings Estates","1901 North Linden Street,","Normal, IL",61761,"288","https://www.mhvillage.com/parks/11077","105","53","1901 North Linden Street, Normal, IL 61761",40.538862,-88.98361,"McLean County"
"Northmeadow Village","856 A Street,","Normal, IL",61761,"274","https://www.mhvillage.com/parks/11078","91","46","856 A Street, Normal, IL 61761",40.5348401,-88.9997311,"McLean County"
"Royal Acres Manufactured Home & RV Community","605 Pine Street,","Normal, IL",61761,"138","https://www.mhvillage.com/parks/11080","91","46","605 Pine Street, Normal, IL 61761",40.5176731,-88.9777427,"McLean County"
"Redwood MHC","15242 East 1830 North Road,","Pontiac, IL",61764,"Not found","https://www.mhvillage.com/parks/10860","105","53","15242 East 1830 North Road, Pontiac, IL 61764",40.8923375,-88.6371797,"Livingston County"
"Oakridge Park","1037 East Water Street,","Pontiac, IL",61764,"Not found","https://www.mhvillage.com/parks/10859","105","53","1037 East Water Street, Pontiac, IL 61764",40.878812,-88.614757,"Livingston County"
"Sandy Creek Estates","601 W Lincoln Ave,","Pontiac, IL",61764,"Not found","https://www.mhvillage.com/parks/106928","105","53","601 W Lincoln Ave, Pontiac, IL 61764",40.8869368,-88.6346265,"Livingston County"
"Kinsell Mobile Home Park","410 East Lincoln Street,","Saybrook, IL",61770,"Not found","https://www.mhvillage.com/parks/11081","88","44","410 East Lincoln Street, Saybrook, IL 61770",40.4255185,-88.5225346,"McLean County"
"Wilsons on University MHC, LLC","1746 Wilson Road,","Urbana, IL",61801,"42","https://www.mhvillage.com/parks/10264","103","52","1746 Wilson Road, Urbana, IL 61801",40.1165532,-88.1840964,"Champaign County"
"Rock Park","Main,","Urbana, IL",61801,"15","https://www.mhvillage.com/parks/10260","103","52","Main, Urbana, IL 61801",40.1046808,-88.22899,"Champaign County"
"Ivanhoe Estates MHC, LLC","26 Ivanhoe Drive,","Urbana, IL",61802,"336","https://www.mhvillage.com/parks/10253","103","52","26 Ivanhoe Drive, Urbana, IL 61802",40.129162,-88.189327,"Champaign County"
"Surbana Estates MHC, LLC","101 Dewey Street,","Urbana, IL",61802,"95","https://www.mhvillage.com/parks/10262","103","52","101 Dewey Street, Urbana, IL 61802",40.11243,-88.17268,"Champaign County"
"Surbana Estates MHC, LLC (Trailside)","2410 E. Main Street,","Urbana, IL",61802,"16","https://www.mhvillage.com/parks/104881","103","52","2410 E. Main Street, Urbana, IL 61802",40.1128755,-88.1756975,"Champaign County"
"Woodland Acres","2200 East University Avenue,","Urbana, IL",61802,"93","https://www.mhvillage.com/parks/31959","103","52","2200 East University Avenue, Urbana, IL 61802",40.1156116,-88.1866125,"Champaign County"
"Powells Mobile Home Park","2608 Brownfield Rd,","Urbana, IL",61802,"26","https://www.mhvillage.com/parks/57654","103","52","2608 Brownfield Rd, Urbana, IL 61802",40.1282417,-88.186568,"Champaign County"
"Arleen Trailer Park","2602 Brownfield Rd,","Urbana, IL",61802,"Not found","https://www.mhvillage.com/parks/57660","103","52","2602 Brownfield Rd, Urbana, IL 61802",40.1282417,-88.186568,"Champaign County"
"Ehler's Trailer Park","3711 North Cunningham Avenue,","Urbana, IL",61802,"Not found","https://www.mhvillage.com/parks/10250","104","52","3711 North Cunningham Avenue, Urbana, IL 61802",40.1532608,-88.1842994,"Champaign County"
"Shadowwood Mobile Home Park","1600 North Market Street,","Champaign, IL",61820,"272","https://www.mhvillage.com/parks/10207","103","52","1600 North Market Street, Champaign, IL 61820",40.1337676,-88.2387896,"Champaign County"
"Edgebrook Estates MHC, LLC","515 Edgebrook Drive,","Champaign, IL",61820,"47","https://www.mhvillage.com/parks/10203","103","52","515 Edgebrook Drive, Champaign, IL 61820",40.1312795,-88.2513726,"Champaign County"
"New Century Estates","4809 West Windsor Road,","Champaign, IL",61822,"169","https://www.mhvillage.com/parks/10206","104","52","4809 West Windsor Road, Champaign, IL 61822",40.0839134,-88.2925976,"Champaign County"
"St Clair Mobile Home Park","1237 Perrysville Road,","Danville, IL",61832,"50","https://www.mhvillage.com/parks/11478","104","52","1237 Perrysville Road, Danville, IL 61832",40.1084196,-87.6003171,"Vermilion County"
"Danville Mobile Home Park","1202 Perrysville Avenue,","Danville, IL",61832,"110","https://www.mhvillage.com/parks/11462","104","52","1202 Perrysville Avenue, Danville, IL 61832",40.110454,-87.609145,"Vermilion County"
"Big Rock Mobile Home Court","1362 W. Williams Street,","Danville, IL",61832,"Not found","https://www.mhvillage.com/parks/11457","104","52","1362 W. Williams Street, Danville, IL 61832",40.1344443,-87.6526684,"Vermilion County"
"Cornells Mh Park","806 Perrysville Ave,","Danville, IL",61832,"Not found","https://www.mhvillage.com/parks/57957","104","52","806 Perrysville Ave, Danville, IL 61832",40.1145411,-87.6152182,"Vermilion County"
"Long's Mobile Home Park","1330 West Williams Street,","Danville, IL",61832,"Not found","https://www.mhvillage.com/parks/11458","104","52","1330 West Williams Street, Danville, IL 61832",40.1346204,-87.6493896,"Vermilion County"
"Glendale Mobile Home Park","1831 Perrysville Road,","Danville, IL",61834,"84","https://www.mhvillage.com/parks/11467","104","52","1831 Perrysville Road, Danville, IL 61834",40.1077708,-87.5956875,"Vermilion County"
"Valley Run Mobile Home Park","1800 Perrysville Road,","Danville, IL",61834,"60","https://www.mhvillage.com/parks/11481","104","52","1800 Perrysville Road, Danville, IL 61834",40.1084258,-87.6002166,"Vermilion County"
"Pals Mobile Home Park","701 S Griffin St,","Danville, IL",61834,"Not found","https://www.mhvillage.com/parks/57949","104","52","701 S Griffin St, Danville, IL 61834",40.115433,-87.602147,"Vermilion County"
"Deeter's Mobile Estates","433 West Clinton Avenue,","Farmer City, IL",61842,"Not found","https://www.mhvillage.com/parks/10456","88","44","433 West Clinton Avenue, Farmer City, IL 61842",40.238566,-88.6493413,"DeWitt County"
"Shepherd Mobile Estates","40 Glenbrook Lane,","Fisher, IL",61843,"Not found","https://www.mhvillage.com/parks/10208","101","51","40 Glenbrook Lane, Fisher, IL 61843",40.3078856,-88.3443272,"Champaign County"
"Carriage Estates Mobile Home Park","601 Carriage Drive,","Monticello, IL",61856,"26","https://www.mhvillage.com/parks/11167","88","44","601 Carriage Drive, Monticello, IL 61856",40.0292151,-88.5607839,"Piatt County"
"Monroe Street Mobile Home Park","353 West Monroe Street,","Monticello, IL",61856,"Not found","https://www.mhvillage.com/parks/11168","88","44","353 West Monroe Street, Monticello, IL 61856",40.018816,-88.5760675,"Piatt County"
"Lake Bluff Mobile Home Park","20 Pattie Dr,","Oakwood, IL",61858,"123","https://www.mhvillage.com/parks/11497","104","52","20 Pattie Dr, Oakwood, IL 61858",40.1026466,-87.7754892,"Vermilion County"
"Maplewood Estates","1300 North Maplewood Drive,","Rantoul, IL",61866,"112","https://www.mhvillage.com/parks/10224","104","52","1300 North Maplewood Drive, Rantoul, IL 61866",40.3161212,-88.1365038,"Champaign County"
"Fountain Valley","1 Fountain Valley,","Rantoul, IL",61866,"190","https://www.mhvillage.com/parks/10218","104","52","1 Fountain Valley, Rantoul, IL 61866",40.2817271,-88.1690955,"Champaign County"
"Heritage Meadows MHC, LLC","600 South Maplewood Drive,","Rantoul, IL",61866,"227","https://www.mhvillage.com/parks/10219","104","52","600 South Maplewood Drive, Rantoul, IL 61866",40.306017,-88.136562,"Champaign County"
"Rancho Rantoul Estates","8 Mahoning Avenue,","Rantoul, IL",61866,"2","https://www.mhvillage.com/parks/128982","104","52","8 Mahoning Avenue, Rantoul, IL 61866",40.3195236,-88.1344331,"Champaign County"
"Abe's Estates","1140 North Century Boulevard,","Rantoul, IL",61866,"Not found","https://www.mhvillage.com/parks/10213","104","52","1140 North Century Boulevard, Rantoul, IL 61866",40.3215163,-88.1538866,"Champaign County"
"Youngstown Estates","2 Mahoning Avenue,","Rantoul, IL",61866,"Not found","https://www.mhvillage.com/parks/10220","104","52","2 Mahoning Avenue, Rantoul, IL 61866",40.319443,-88.135946,"Champaign County"
"G&C Estates","107 N Grant,","Seymour, IL",61875,"Not found","https://www.mhvillage.com/parks/107046","101","51","107 N Grant, Seymour, IL 61875",40.1063734,-88.4283111,"Champaign County"
"Horizon Estates Mh Park","900 W Central Ave,","Thomasboro, IL",61878,"Not found","https://www.mhvillage.com/parks/57666","104","52","900 W Central Ave, Thomasboro, IL 61878",40.238857,-88.195554,"Champaign County"
"The Oaks MHP","90 The Oaks,","Tolono, IL",61880,"126","https://www.mhvillage.com/parks/10241","101","51","90 The Oaks, Tolono, IL 61880",39.973651,-88.267013,"Champaign County"
"Pleasant Plains Mobile Home Park","790 County Road 800 North,","Tolono, IL",61880,"22","https://www.mhvillage.com/parks/10242","101","51","790 County Road 800 North, Tolono, IL 61880",39.9959607,-88.2820795,"Champaign County"
"Country Aire Mobile Home Park","16572 East 1200 North Road,","Westville, IL",61883,"Not found","https://www.mhvillage.com/parks/11500","104","52","16572 East 1200 North Road, Westville, IL 61883",40.042529,-87.627888,"Vermilion County"
"Atwood MHC West","302 S Indiana St,","Atwood, IL",61913,"Not found","https://www.mhvillage.com/parks/107294","88","44","302 S Indiana St, Atwood, IL 61913",39.8026149,-88.4656688,"Piatt County"
"University Estates","775 W. Elm Ave.,","Charleston, IL",61920,"98","https://www.mhvillage.com/parks/10317","101","51","775 W. Elm Ave., Charleston, IL 61920",39.5022782,-88.195325,"Coles County"
"Eastern Estates","505 North Division Street,","Charleston, IL",61920,"125","https://www.mhvillage.com/parks/10314","101","51","505 North Division Street, Charleston, IL 61920",39.5021876,-88.1816329,"Coles County"
"Brooks Mh Park","513 Reynolds Dr,","Charleston, IL",61920,"Not found","https://www.mhvillage.com/parks/58008","101","51","513 Reynolds Dr, Charleston, IL 61920",39.4953829,-88.1911551,"Coles County"
"Fairview Mh Park","617 W State St,","Charleston, IL",61920,"Not found","https://www.mhvillage.com/parks/10310","101","51","617 W State St, Charleston, IL 61920",39.4991171,-88.1900811,"Coles County"
"Mercer Mobile Home Court","1600 Tyler Ave,","Charleston, IL",61920,"Not found","https://www.mhvillage.com/parks/10313","101","51","1600 Tyler Ave, Charleston, IL 61920",39.490476,-88.164483,"Coles County"
"Shady Point Mobile Home Court","520 W Madison Ave,","Charleston, IL",61920,"Not found","https://www.mhvillage.com/parks/58003","101","51","520 W Madison Ave, Charleston, IL 61920",39.4959476,-88.1874592,"Coles County"
"Slifer's Rancho Mobile Home Park","1801 Madison Avenue,","Charleston, IL",61920,"Not found","https://www.mhvillage.com/parks/10315","101","51","1801 Madison Avenue, Charleston, IL 61920",39.4974128,-88.1634561,"Coles County"
"Heights","Jefferson St,","Humboldt, IL",61931,"14","https://www.mhvillage.com/parks/10319","101","51","Jefferson St, Humboldt, IL 61931",39.6046711,-88.3192409,"Coles County"
"Lakeland Estates Mobile Home and RV Park","4808 Paradise Road,","Mattoon, IL",61938,"93","https://www.mhvillage.com/parks/10324","101","51","4808 Paradise Road, Mattoon, IL 61938",39.4323249,-88.3822337,"Coles County"
"Wilson Mobile Home Park","812 N 9th St,","Mattoon, IL",61938,"95","https://www.mhvillage.com/parks/82","101","51","812 N 9th St, Mattoon, IL 61938",39.4912604,-88.3643061,"Coles County"
"Old State Village","5294 Old State Road,","Mattoon, IL",61938,"200","https://www.mhvillage.com/parks/10326","101","51","5294 Old State Road, Mattoon, IL 61938",39.4571316,-88.3723751,"Coles County"
"Mattoon Mobile Village","609 Marion Avenue,","Mattoon, IL",61938,"45","https://www.mhvillage.com/parks/10325","101","51","609 Marion Avenue, Mattoon, IL 61938",39.4758988,-88.3604232,"Coles County"
"Bennett Trailer Park","1512 Shelby Ave,","Mattoon, IL",61938,"Not found","https://www.mhvillage.com/parks/106970","101","51","1512 Shelby Ave, Mattoon, IL 61938",39.4870297,-88.37319,"Coles County"
"Cherrypoint Mobile Home Park","607 Cherry Point Road,","Paris, IL",61944,"Not found","https://www.mhvillage.com/parks/10479","102","51","607 Cherry Point Road, Paris, IL 61944",39.6258411,-87.7010847,"Edgar County"
"Paris Mh Park","105 Ann St,","Paris, IL",61944,"Not found","https://www.mhvillage.com/parks/57757","102","51","105 Ann St, Paris, IL 61944",39.619713,-87.694154,"Edgar County"
"Sullivan MHP South","208 Patterson Road,","Sullivan, IL",61951,"66","https://www.mhvillage.com/parks/103917","107","54","208 Patterson Road, Sullivan, IL 61951",39.5899189,-88.5997774,"Moultrie County"
"Sullivan MHP North","722 W. Hunter St.,","Sullivan, IL",61951,"73","https://www.mhvillage.com/parks/103915","107","54","722 W. Hunter St., Sullivan, IL 61951",39.6042626,-88.6143485,"Moultrie County"
"Okaw Mobile Home Court","801 North Carico Street,","Tuscola, IL",61953,"100","https://www.mhvillage.com/parks/10467","101","51","801 North Carico Street, Tuscola, IL 61953",39.805735,-88.278051,"Douglas County"
"Elmwood Estates","401 E Walnut St,","Villa Grove, IL",61956,"Not found","https://www.mhvillage.com/parks/57650","101","51","401 E Walnut St, Villa Grove, IL 61956",39.866049,-88.155609,"Douglas County"
"Windsor Mobile Home Park","505 S Oak St,","Windsor, IL",61957,"Not found","https://www.mhvillage.com/parks/57624","107","54","505 S Oak St, Windsor, IL 61957",39.4347608,-88.5953349,"Shelby County"
"Enchanted Village","246 Wonderland Dr.,","Alton, IL",62002,"521","https://www.mhvillage.com/parks/10926","111","56","246 Wonderland Dr., Alton, IL 62002",38.9192424,-90.1000655,"Madison County"
"Glenwood","3431 Seminary Street,","Alton, IL",62002,"63","https://www.mhvillage.com/parks/10924","111","56","3431 Seminary Street, Alton, IL 62002",38.9244464,-90.1423576,"Madison County"
"Rockspring Mobile Home Park","2115 College Avenue,","Alton, IL",62002,"Not found","https://www.mhvillage.com/parks/10925","111","56","2115 College Avenue, Alton, IL 62002",38.9032786,-90.1549441,"Madison County"
"Newcastle Park LLC","1410 West Dr,","Bethalto, IL",62010,"33","https://www.mhvillage.com/parks/10932","111","56","1410 West Dr, Bethalto, IL 62010",38.9130792,-90.0622317,"Madison County"
"Airport Mobile Home Park","500 W Bethalto Drive,","Bethalto, IL",62010,"Not found","https://www.mhvillage.com/parks/10927","111","56","500 W Bethalto Drive, Bethalto, IL 62010",38.9013275,-90.0561225,"Madison County"
"Beth Mor Mobile Home Park","750 South Moreland Road,","Bethalto, IL",62010,"89","https://www.mhvillage.com/parks/10928","111","56","750 South Moreland Road, Bethalto, IL 62010",38.896674,-90.0303098,"Madison County"
"Pohlmans Mobile Home Court","900 Maple St,","Carrollton, IL",62016,"Not found","https://www.mhvillage.com/parks/58035","100","50","900 Maple St, Carrollton, IL 62016",39.298727,-90.414052,"Greene County"
"Shady Lane Mobile Home Park","144 E Alton Ave,","East Alton, IL",62024,"Not found","https://www.mhvillage.com/parks/57931","111","56","144 E Alton Ave, East Alton, IL 62024",38.8763499,-90.1079071,"Madison County"
"Fairfax Mobile Home Park","210 Cooper Avenue,","East Alton, IL",62024,"Not found","https://www.mhvillage.com/parks/10948","111","56","210 Cooper Avenue, East Alton, IL 62024",38.8887775,-90.1018298,"Madison County"
"Moores Mobile Home Park","226 Virginia St,","East Alton, IL",62024,"Not found","https://www.mhvillage.com/parks/10950","111","56","226 Virginia St, East Alton, IL 62024",38.8855091,-90.1189895,"Madison County"
"Stone Meadows Mobile Home Park","2900 Sand Road,","Edwardsville, IL",62025,"284","https://www.mhvillage.com/parks/11696","111","56","2900 Sand Road, Edwardsville, IL 62025",38.762688,-90.025832,"Madison County"
"Serenity Circle Mobile Home Park","5261 Chain Of Rocks Road,","Edwardsville, IL",62025,"Not found","https://www.mhvillage.com/parks/10959","111","56","5261 Chain Of Rocks Road, Edwardsville, IL 62025",38.7601776,-90.018062,"Madison County"
"West Union Mobile Home Court","436 W Union St,","Edwardsville, IL",62025,"Not found","https://www.mhvillage.com/parks/57923","112","56","436 W Union St, Edwardsville, IL 62025",38.8122281,-89.9662078,"Madison County"
"Cappelatti Washburn Court","600 Charles St,","Gillespie, IL",62033,"Not found","https://www.mhvillage.com/parks/57892","108","54","600 Charles St, Gillespie, IL 62033",39.116577,-89.819376,"Macoupin County"
"East 30 Commons MHC, LLC","81 Glen Crossing Road,","Glen Carbon, IL",62034,"95","https://www.mhvillage.com/parks/10960","111","56","81 Glen Crossing Road, Glen Carbon, IL 62034",38.752331,-89.9660399,"Madison County"
"Coachlight Mobile Home Park","170 Coachlight Trailer Park,","Glen Carbon, IL",62034,"Not found","https://www.mhvillage.com/parks/106852","111","56","170 Coachlight Trailer Park, Glen Carbon, IL 62034",38.7499667,-89.9751428,"Madison County"
"Poplar Mobile Home Court","5306 Godfrey Rd,","Godfrey, IL",62035,"Not found","https://www.mhvillage.com/parks/57889","111","56","5306 Godfrey Rd, Godfrey, IL 62035",38.942218,-90.1910676,"Madison County"
"Kanallakan Court","30106 Ingham Ln,","Godfrey, IL",62035,"Not found","https://www.mhvillage.com/parks/107348","100","50","30106 Ingham Ln, Godfrey, IL 62035",38.9892601,-90.1947672,"Madison County"
"Oak Grove","2716 West Delmar Ave.,","Godfrey, IL",62035,"73","https://www.mhvillage.com/parks/10962","100","50","2716 West Delmar Ave., Godfrey, IL 62035",38.9364417,-90.2439537,"Madison County"
"Mallard Lake","135 Mallard Dr.,","Pontoon Beach, IL",62040,"278","https://www.mhvillage.com/parks/29231","111","56","135 Mallard Dr., Pontoon Beach, IL 62040",38.727928,-90.061734,"Madison County"
